Unique_ID,Subregion,E/I,"Axonal-dendritic pattern (ax=1, de=2)",p,Projection patterning,Hippocampome neuronal  class,Neurite,Neurite_ID,Total_length (micron),%_of_neurite_tree,Density,Avg_max_path_length (micron),Avg_mean_path_length (micron),Reference_ID
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA2:SLM:D,38,5758.1941503463,24.8301494252,0.1022922572,562.8051001822,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA2:SLM:A,37,2022.843679262,1.5236352739,0.0215610562,613.4426229508,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA3:SO:D,32,3089.5482032951,13.3225698094,0.0357761192,,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA3:SO:A,31,7785.6447199751,5.8642608161,0.0540933758,,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA3:SP:A,28,28874.7323947649,21.7488683144,0.152208228,,,800020
3007,CA2,I,2232,p,CA3_00030-CA1_0030,CA2 Wide-Arbor BC,CA3:SL:A,25,4560.8214631807,3.4352770461,0.0293907294,,,800020
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA1:SO:A,61,13437.9944423352,10.1577654209,0.0772704021,,,800022
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA1:SR:A,55,2795.3765650892,2.113022113,0.0216277746,,,800022
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SO:D,47,2673.9128342928,19.2506650902,0.0200894579,306.7857142857,,800022
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SO:A,46,39159.2225060539,29.6004138109,0.1765250251,650.7738095238,,800022
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SP:D,44,1603.3212465126,11.5430091635,0.0217663945,111.5773809524,,800022
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SP:A,43,27074.436670197,20.4655373076,0.2205345447,438.5119047619,,800022
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SR:D,41,9612.7423006342,69.2063257464,0.0540570182,373.869047619,,800022
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SR:A,40,49825.7909781049,37.6632613475,0.1681164607,555.3571428571,,800022
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA1:SO:D,62,382.2010707818,2.1812052947,0.0033047618,,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA1:SO:A,61,7060.5633166281,11.0400288334,0.0854703836,,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA1:SP:A,58,2596.7486999025,4.060324826,0.0935027882,,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA1:SR:D,56,2327.4935919903,13.2829071775,0.0122640056,,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA1:SR:A,55,30949.2107184496,48.3927646251,0.228308173,,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SO:D,47,5726.9653851442,32.6835484667,0.0476342255,386.3742690058,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SO:A,46,8566.7495944356,13.3951298628,0.0997559155,888.7134502924,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SP:D,44,1486.449547051,8.4831044972,0.0315888732,73.7426900585,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SP:A,43,3194.6131717247,4.9951568941,0.0950452188,644.8245614035,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SR:D,41,6933.0669172154,39.5667187372,0.0618033082,485.4093567251,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA2:SR:A,40,11586.3253364582,18.1165949587,0.1445972672,702.2807017544,,800024
3003,CA2,I,0313,p,CA1 _0101,CA2 Bistratified,CA3:SR:D,23,666.2947426934,3.8025158267,0.0309116428,,,800024
3008,CA2,I,0302,,,CA2 SP-SR,CA1:SR:A,55,2031.6405887147,2.5793725202,0.0408209292,,,800026
3008,CA2,I,0302,,,CA2 SP-SR,CA2:SO:D,47,7968.0010480802,35.9544691174,0.0547694442,269.376498801,,800026
3008,CA2,I,0302,,,CA2 SP-SR,CA2:SO:A,46,1805.9683860718,2.2928589108,0.0173790939,155.4676258993,,800026
3008,CA2,I,0302,,,CA2 SP-SR,CA2:SP:D,44,1013.1618521796,4.5717484605,0.0237619537,46.690647482,,800026
3008,CA2,I,0302,,,CA2 SP-SR,CA2:SP:A,43,4018.9738078005,5.1024923684,0.1319612826,382.3741007194,,800026
3008,CA2,I,0302,,,CA2 SP-SR,CA2:SR:D,41,11925.5353033287,53.8122784102,0.0588465761,412.829736211,,800026
3008,CA2,I,0302,,,CA2 SP-SR,CA2:SR:A,40,66352.3536964456,84.2410014476,0.4583821375,529.6163069544,,800026
3008,CA2,I,0302,,,CA2 SP-SR,CA3:SR:D,23,1254.6665549032,5.6615040119,0.0185212317,,,800026
3008,CA2,I,0302,,,CA2 SP-SR,CA3:SR:A,22,4555.9791277021,5.7817737689,0.0941567162,,,800026
1000,DG,E,2201,p,CA3 00110,Granule,DG:SMo:D,5,12358.5069193418,63.372697213,0.039180641,801.1538461538,588.8461538462,800028
1000,DG,E,2201,p,CA3 00110,Granule,DG:SMi:D,8,4830.6507368089,24.7709022201,0.0213730253,355,263.6057692308,800028
1000,DG,E,2201,p,CA3 00110,Granule,DG:SG:D,11,2312.1535753986,11.8564005668,0.0060523054,142.4871794872,73.4615384615,800028
1000,DG,E,2201,p,CA3 00110,Granule,DG:SG:A,10,2349.0006443293,12.7436281859,0.004099171,,,800028
1000,DG,E,2201,p,CA3 00110,Granule,DG:H:A,13,12259.019833229,66.5067466267,0.0209862,730.6730769231,475.4326923077,800028
1000,DG,E,2201,p,CA3 00110,Granule,CA3:SP:A,28,3824.725755002,20.7496251874,0.0377718949,1315.7692307692,1052.6923076923,800028
1000,DG,E,2201,p,CA3 00110,Granule,DG:SMo:D,5,10354.5096097624,65.3937710772,0.0477189986,603.4426229508,443.2459016393,800030
1000,DG,E,2201,p,CA3 00110,Granule,DG:SMi:D,8,4143.0602685505,26.1654433644,0.027901467,368.0327868852,269.762295082,800030
1000,DG,E,2201,p,CA3 00110,Granule,DG:SG:D,11,1336.5217166552,8.4407855584,0.0056945169,121.2568306011,63.5245901639,800030
1000,DG,E,2201,p,CA3 00110,Granule,DG:SG:A,10,1649.0573472244,9.6365638767,0.0046840915,,,800030
1000,DG,E,2201,p,CA3 00110,Granule,DG:H:A,13,12316.102587556,71.9713656388,0.0226320346,1098.262295082,641.9508196721,800030
1000,DG,E,2201,p,CA3 00110,Granule,CA3:SP:A,28,3147.3437369883,18.3920704846,0.0241573846,1536.3770491803,1221.6393442623,800030
1000,DG,E,2201,p,CA3 00110,Granule,DG:SMo:D,5,6288.8096458083,71.2922390387,0.048894238,218.495049505,182.4356435644,800032
1000,DG,E,2201,p,CA3 00110,Granule,DG:SMi:D,8,1951.1435054944,22.1188741633,0.0308696631,115.9405940594,89.0198019802,800032
1000,DG,E,2201,p,CA3 00110,Granule,DG:SG:D,11,581.216909573,6.588886798,0.0154937323,44.8184818482,25.5940594059,800032
1000,DG,E,2201,p,CA3 00110,Granule,DG:H:A,13,11783.1235209787,68.9306165934,0.0799160079,407.3927392739,257.4752475248,800032
1000,DG,E,2201,p,CA3 00110,Granule,CA3:SL:A,25,2424.4641711442,14.1829804235,0.0531808649,667.0792079208,582.3118811881,800032
1000,DG,E,2201,p,CA3 00110,Granule,CA3:SP:A,28,2886.5920835783,16.8864029831,0.0416365666,621.3267326733,715.0445544554,800032
1041,DG,E,2203,p,CA3 00100,Hilar Ectopic Granule,DG:SMo:D,5,8578.948539158,42.158816941,0.0301657158,1116.0483870968,975.9677419355,800034
1041,DG,E,2203,p,CA3 00100,Hilar Ectopic Granule,DG:SMi:D,8,4428.5422394141,21.7628186875,0.027892944,804.0322580645,694.7096774194,800034
