UniqueIDs,Names,Abbreviations,EorI,DG:SMo,DG:SMi,DG:SG,DG:H,CA3:SLM,CA3:SR,CA3:SL,CA3:SP,CA3:SO,CA2:SLM,CA2:SR,CA2:SP,CA2:SO,CA1:SLM,CA1:SR,CA1:SP,CA1:SO,Sub:SM,Sub:SP,Sub:PL,EC:I,EC:II,EC:III,EC:IV,EC:V,EC:VI
5002,SUB Axo-axonic,SUB AA,I,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,0,0,0,0,0,0
6094,LI-II Multipolar-Pyramidal,LI-II MPC-PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,1,0,0,0
6005,LI-II Pyramidal-Fan,LI-II PC-Fan,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,1,3,3,1,0,0,0
6008,MEC LII-III PC-Multiform,MEC LII-III PC-MFC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,1,1,1
6019,MEC LII Oblique Pyramidal,MEC LII Obl PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,1,1,0,0
6003,MEC LII Stellate,MEC LII SC,E,1,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,1,1,1,3,3,1,1,1,1
6082,LII-III Pyramidal-Tripolar,LII-III PC-TPC,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,3,3,3,0,0,0
6025,LEC LIII Multipolar Principal,LEC LIII MPC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,3,3,3,0
6031,MEC LIII Multipolar Principal,MEC LIII MPC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,3,1,0
6017,LIII Pyramidal,LIII PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,3,1,1,1
6007,LEC LIII Complex Pyramidal,LEC LIII Cmplx PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,3,3,1,0
6006,MEC LIII Complex Pyramidal,MEC LIII Cmplx PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,3,1,3,3,0,0
6024,MEC LIII BP Cmplx PC,MEC LIII BP Cmplx PC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,3,3,1,0,0
6092,LIII Pyramidal-Stellate,LIII PC-SC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,1,0,0,2,2,3,2,0,0
6018,LIII Stellate,LIII SC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,0,0,0
6095,LIII-V Bipolar Pyramidal,LIII-V PC BP,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,3,3,3,1
6085,LIV-V Pyramidal-Horiz,LIV-V PC-HC,E,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,2,0,2,3,3
6086,LIV-VI Deep Multipolar,LIV-VI Deep MPC,E,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,1,1,0,0,0,3,3,3
